,tiempo_maximo,intensidad_maxima,tiempo_minimo,intensidad_minima,tiempo_valle,intensidad_valle,sparks_amplitud,TTP,sparks_tiempo_pico50,sparks_tiempo_pico50_2,sp_tau,full_width,TTP50,FDHM,fullWidth,(ΔF/F0)/ΔTmax,fullDuration,width,high,flag
5,6.0,36.60869565217392,5.0,31.26086956521739,9.0,30.695652173913047,0.17107093184979144,1.0,5.519719354523391,,20.468051267236632,3.0,0.5197193545233922,,3.0,0.17107093184979144,4.0,13.0,23.0,1.0
6,7.0,37.45454545454545,4.0,28.863636363636363,9.0,35.40909090909091,0.2976377952755905,3.0,5.919872731217418,,35.61286280018046,20.0,1.919872731217417,,20.0,0.09921259842519684,5.0,10.0,22.0,1.0
7,7.0,65.0625,2.0,32.375,10.0,29.875,1.0096525096525095,5.0,4.571708112547486,,4.055186735525531,8.0,2.5717081125474857,,8.0,0.20193050193050194,8.0,15.0,16.0,1.0
0,2.0,14.615384615384615,1.0,14.307692307692307,7.0,12.923076923076925,0.021505376344085943,1.0,1.5026596246362758,,48.12340276733853,7.0,0.502659624636276,,7.0,0.021505376344085943,6.0,18.0,13.0,1.0
1,3.0,15.8125,2.0,15.0625,11.0,13.375,0.04979253112033195,1.0,2.506073471902273,,61.124118173974715,5.0,0.5060734719022735,,5.0,0.04979253112033195,9.0,14.0,16.0,1.0
2,24.0,18.26086956521739,8.0,14.43478260869565,27.0,15.56521739130435,0.2650602409638555,16.0,20.255194919771654,,17.342428534944244,18.0,12.255194919771654,,18.0,0.01656626506024097,19.0,30.0,23.0,1.0
3,6.0,23.09090909090909,2.0,19.272727272727273,9.0,19.545454545454547,0.1981132075471697,4.0,3.8940893084582746,,17.89924184395717,8.0,1.8940893084582744,,8.0,0.04952830188679243,7.0,15.0,11.0,2.0
4,2.0,16.588235294117652,1.0,16.294117647058822,9.0,14.411764705882351,0.018050541516245643,1.0,1.5022361657752168,,55.47859494310739,7.0,0.5022361657752168,,7.0,0.018050541516245643,8.0,14.0,17.0,1.0
5,13.0,26.8,6.0,23.0,14.0,26.3,0.16521739130434784,7.0,10.317877183303333,,53.09843059691599,6.0,4.317877183303333,,6.0,0.02360248447204969,8.0,17.0,10.0,1.0
6,8.0,5.454545454545454,5.0,5.0,2.0,5.363636363636363,0.09090909090909084,3.0,6.119366132765231,-19.4388286270432,,0.0,1.1193661327652311,,0.0,0.03030303030303028,-3.0,10.0,11.0,1.0
0,20.0,17.75,13.0,5.8125,21.0,16.4375,2.053763440860215,7.0,16.664057480496492,,13.017408469531649,5.0,3.6640574804964916,,5.0,0.293394777265745,8.0,23.0,16.0,1.0
1,7.0,5.5,5.0,5.0,1.0,5.1,0.1,2.0,5.94957799586709,5.686006917534738,,6.0,0.9495779958670908,,6.0,0.05,-4.0,15.0,10.0,2.0
2,2.0,13.692307692307693,0.0,13.076923076923075,0.0,13.076923076923075,0.04705882352941188,2.0,1.344828598853962,1.344828598853962,,10.0,1.344828598853962,,10.0,0.023529411764705938,0.0,8.0,13.0,2.0
3,4.0,5.2727272727272725,2.0,5.0,7.0,4.818181818181818,0.054545454545454494,2.0,3.3466092294925502,,34.740915525415375,2.0,1.3466092294925502,,2.0,0.027272727272727247,5.0,12.0,11.0,1.0
4,,,,,,,,,,,,,,,,,,16.0,17.0,1.0
0,12.0,18.722222222222218,3.0,14.277777777777779,13.0,16.77777777777778,0.3112840466926069,9.0,5.721725137808919,,9.119435266616843,5.0,2.721725137808919,,5.0,0.034587116299178544,10.0,14.0,18.0,1.0
1,2.0,19.25,1.0,13.25,3.0,16.375,0.4528301886792453,1.0,1.5464202814821273,,6.182178441832607,5.0,0.5464202814821273,,5.0,0.4528301886792453,2.0,7.0,8.0,2.0
2,6.0,17.857142857142858,5.0,15.0,8.0,16.714285714285715,0.19047619047619047,1.0,5.521766624070152,,30.23897750318452,7.0,0.5217666240701524,,7.0,0.19047619047619047,3.0,11.0,21.0,2.0
3,5.0,6.666666666666668,1.0,6.166666666666668,6.0,6.0,0.08108108108108107,4.0,3.1893225024783995,,9.491221581029912,3.0,2.1893225024783995,,3.0,0.020270270270270268,5.0,7.0,6.0,2.0
4,8.0,6.75,2.0,6.125,2.0,6.125,0.1020408163265306,6.0,4.696737409734084,4.696737409734084,,0.0,2.696737409734084,,0.0,0.017006802721088437,0.0,17.0,16.0,1.0
5,4.0,18.555555555555557,0.0,15.555555555555555,5.0,15.444444444444445,0.19285714285714295,4.0,1.1563841206159329,,5.449000968670205,2.0,1.1563841206159329,,2.0,0.048214285714285744,5.0,10.0,9.0,2.0
6,9.0,19.63636363636364,2.0,16.318181818181817,11.0,14.363636363636365,0.20334261838440126,7.0,7.632077199315564,,6.39624668945909,9.0,5.632077199315564,,9.0,0.029048945483485893,9.0,17.0,22.0,1.0
7,4.0,6.7333333333333325,2.0,6.2666666666666675,10.0,6.066666666666666,0.07446808510638299,2.0,3.3512859084659046,,133.41826966562715,2.0,1.3512859084659048,,2.0,0.0372340425531915,8.0,14.0,15.0,1.0
0,2.0,7.599999999999999,1.0,6.400000000000001,3.0,6.400000000000001,0.1874999999999996,1.0,1.521454900867164,,5.819019522483298,2.0,0.5214549008671641,,2.0,0.1874999999999996,2.0,9.0,10.0,1.0
1,5.0,23.33333333333333,3.0,15.333333333333336,7.0,18.88888888888889,0.5217391304347825,2.0,3.913159161079202,,9.46480799898667,4.0,0.9131591610792024,,4.0,0.26086956521739124,4.0,9.0,9.0,1.0
